timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742944970087,52,14 Register Request,201,Created,User Thread Group 1-3,text,true,,287,282,16,16,http://localhost:8080/authentication/register,52,0,35
1742944970087,52,14 Register Request,201,Created,User Thread Group 1-1,text,true,,287,298,16,16,http://localhost:8080/authentication/register,51,0,35
1742944970113,27,14 Register Request,201,Created,User Thread Group 1-5,text,true,,287,278,16,16,http://localhost:8080/authentication/register,27,0,9
1742944970087,52,14 Register Request,201,Created,User Thread Group 1-2,text,true,,287,288,16,16,http://localhost:8080/authentication/register,52,0,36
1742944970087,52,14 Register Request,201,Created,User Thread Group 1-4,text,true,,287,275,16,16,http://localhost:8080/authentication/register,52,0,35
1742944970160,15,14 Register Request,201,Created,User Thread Group 1-6,text,true,,287,275,17,17,http://localhost:8080/authentication/register,15,0,1
1742944970206,7,14 Register Request,201,Created,User Thread Group 1-7,text,true,,287,274,18,18,http://localhost:8080/authentication/register,7,0,1
1742944970249,19,14 Register Request,201,Created,User Thread Group 1-8,text,true,,287,296,19,19,http://localhost:8080/authentication/register,19,0,2
1742944970295,23,14 Register Request,201,Created,User Thread Group 1-9,text,true,,287,276,20,20,http://localhost:8080/authentication/register,23,0,2
1742944970342,46,14 Register Request,201,Created,User Thread Group 1-10,text,true,,287,269,22,22,http://localhost:8080/authentication/register,46,0,2
1742944970383,25,14 Register Request,201,Created,User Thread Group 1-11,text,true,,287,283,22,22,http://localhost:8080/authentication/register,25,0,1
1742944970429,28,14 Register Request,201,Created,User Thread Group 1-12,text,true,,287,295,23,23,http://localhost:8080/authentication/register,28,0,2
1742944970476,11,14 Register Request,201,Created,User Thread Group 1-13,text,true,,287,268,24,24,http://localhost:8080/authentication/register,11,0,1
1742944970518,13,14 Register Request,201,Created,User Thread Group 1-14,text,true,,287,290,25,25,http://localhost:8080/authentication/register,13,0,1
1742944970564,13,14 Register Request,201,Created,User Thread Group 1-15,text,true,,287,297,26,26,http://localhost:8080/authentication/register,13,0,2
1742944970609,12,14 Register Request,201,Created,User Thread Group 1-16,text,true,,287,296,27,27,http://localhost:8080/authentication/register,12,0,1
1742944970658,8,14 Register Request,201,Created,User Thread Group 1-17,text,true,,287,297,28,28,http://localhost:8080/authentication/register,8,0,2
1742944970681,14,15 Login Request,200,OK,User Thread Group 1-1,text,true,,535,269,29,29,http://localhost:8080/authentication/login,14,0,0
1742944970681,18,15 Login Request,200,OK,User Thread Group 1-5,text,true,,536,251,29,29,http://localhost:8080/authentication/login,18,0,0
1742944970681,21,15 Login Request,200,OK,User Thread Group 1-4,text,true,,528,250,29,29,http://localhost:8080/authentication/login,21,0,0
1742944970681,24,15 Login Request,200,OK,User Thread Group 1-6,text,true,,527,250,29,29,http://localhost:8080/authentication/login,24,0,0
1742944970699,7,14 Register Request,201,Created,User Thread Group 1-18,text,true,,287,293,29,29,http://localhost:8080/authentication/register,6,0,1
1742944970681,25,15 Login Request,200,OK,User Thread Group 1-2,text,true,,535,264,29,29,http://localhost:8080/authentication/login,25,0,0
1742944970681,27,15 Login Request,200,OK,User Thread Group 1-3,text,true,,528,252,29,29,http://localhost:8080/authentication/login,27,0,0
1742944970715,5,15 Login Request,200,OK,User Thread Group 1-7,text,true,,529,247,29,29,http://localhost:8080/authentication/login,5,0,0
1742944970743,9,14 Register Request,201,Created,User Thread Group 1-19,text,true,,287,284,30,30,http://localhost:8080/authentication/register,9,0,1
1742944970770,15,15 Login Request,200,OK,User Thread Group 1-8,text,true,,536,268,31,31,http://localhost:8080/authentication/login,15,0,0
1742944970789,7,14 Register Request,201,Created,User Thread Group 1-20,text,true,,287,287,31,31,http://localhost:8080/authentication/register,7,0,2
1742944970820,16,15 Login Request,200,OK,User Thread Group 1-9,text,true,,524,245,32,32,http://localhost:8080/authentication/login,16,0,0
1742944970833,23,14 Register Request,201,Created,User Thread Group 1-21,text,true,,287,278,32,32,http://localhost:8080/authentication/register,23,0,2
1742944970878,7,14 Register Request,201,Created,User Thread Group 1-22,text,true,,287,273,33,33,http://localhost:8080/authentication/register,7,0,2
1742944970890,8,15 Login Request,200,OK,User Thread Group 1-10,text,true,,519,243,33,33,http://localhost:8080/authentication/login,8,0,0
1742944970911,16,15 Login Request,200,OK,User Thread Group 1-11,text,true,,525,261,34,34,http://localhost:8080/authentication/login,16,0,0
1742944970925,9,14 Register Request,201,Created,User Thread Group 1-23,text,true,,287,286,34,34,http://localhost:8080/authentication/register,9,0,2
1742944970959,16,15 Login Request,200,OK,User Thread Group 1-12,text,true,,531,265,35,35,http://localhost:8080/authentication/login,16,0,0
1742944970969,11,14 Register Request,201,Created,User Thread Group 1-24,text,true,,287,290,35,35,http://localhost:8080/authentication/register,11,0,1
1742944970989,13,15 Login Request,200,OK,User Thread Group 1-13,text,true,,525,242,35,35,http://localhost:8080/authentication/login,13,0,0
1742944971016,9,14 Register Request,201,Created,User Thread Group 1-25,text,true,,287,301,36,36,http://localhost:8080/authentication/register,9,0,1
1742944971033,14,15 Login Request,200,OK,User Thread Group 1-14,text,true,,536,265,36,36,http://localhost:8080/authentication/login,14,0,0
1742944971059,7,14 Register Request,201,Created,User Thread Group 1-26,text,true,,287,291,37,37,http://localhost:8080/authentication/register,7,0,1
1742944971078,10,15 Login Request,200,OK,User Thread Group 1-15,text,true,,529,265,37,37,http://localhost:8080/authentication/login,10,0,0
1742944971103,11,14 Register Request,201,Created,User Thread Group 1-27,text,true,,287,286,38,38,http://localhost:8080/authentication/register,11,0,2
1742944971122,9,15 Login Request,200,OK,User Thread Group 1-16,text,true,,536,270,38,38,http://localhost:8080/authentication/login,9,0,0
1742944971150,11,14 Register Request,201,Created,User Thread Group 1-28,text,true,,287,281,39,39,http://localhost:8080/authentication/register,11,0,1
1742944971168,16,15 Login Request,200,OK,User Thread Group 1-17,text,true,,531,266,39,39,http://localhost:8080/authentication/login,15,0,0
1742944971193,9,14 Register Request,201,Created,User Thread Group 1-29,text,true,,287,287,40,40,http://localhost:8080/authentication/register,9,0,1
1742944971201,13,16 Get Stock Prices Request,200,OK,User Thread Group 1-5,text,false,,479,415,40,40,http://localhost:8080/transaction/getStockPrices,13,0,0
1742944971200,14,16 Get Stock Prices Request,200,OK,User Thread Group 1-1,text,false,,479,414,40,40,http://localhost:8080/transaction/getStockPrices,14,0,0
1742944971207,10,15 Login Request,200,OK,User Thread Group 1-18,text,true,,536,266,40,40,http://localhost:8080/authentication/login,10,0,0
1742944971204,13,16 Get Stock Prices Request,200,OK,User Thread Group 1-4,text,false,,479,407,40,40,http://localhost:8080/transaction/getStockPrices,13,0,0
1742944971208,11,16 Get Stock Prices Request,200,OK,User Thread Group 1-2,text,false,,479,414,40,40,http://localhost:8080/transaction/getStockPrices,11,0,0
1742944971207,14,16 Get Stock Prices Request,200,OK,User Thread Group 1-6,text,true,,479,406,40,40,http://localhost:8080/transaction/getStockPrices,14,0,0
1742944971210,12,16 Get Stock Prices Request,200,OK,User Thread Group 1-3,text,true,,479,407,40,40,http://localhost:8080/transaction/getStockPrices,12,0,0
1742944971221,5,16 Get Stock Prices Request,200,OK,User Thread Group 1-7,text,false,,479,408,40,40,http://localhost:8080/transaction/getStockPrices,5,0,0
1742944971237,6,14 Register Request,201,Created,User Thread Group 1-30,text,true,,287,272,41,41,http://localhost:8080/authentication/register,6,0,1
1742944971253,6,15 Login Request,200,OK,User Thread Group 1-19,text,true,,536,257,41,41,http://localhost:8080/authentication/login,6,0,0
1742944971283,11,14 Register Request,201,Created,User Thread Group 1-31,text,true,,287,293,42,42,http://localhost:8080/authentication/register,10,0,1
1742944971286,17,16 Get Stock Prices Request,200,OK,User Thread Group 1-8,text,false,,479,415,42,42,http://localhost:8080/transaction/getStockPrices,17,0,0
1742944971297,13,15 Login Request,200,OK,User Thread Group 1-20,text,true,,525,259,42,42,http://localhost:8080/authentication/login,13,0,0
1742944971328,9,14 Register Request,201,Created,User Thread Group 1-32,text,true,,287,275,43,43,http://localhost:8080/authentication/register,9,0,1
1742944971338,14,16 Get Stock Prices Request,200,OK,User Thread Group 1-9,text,true,,479,403,43,43,http://localhost:8080/transaction/getStockPrices,14,0,0
1742944971358,11,15 Login Request,200,OK,User Thread Group 1-21,text,true,,533,252,44,44,http://localhost:8080/authentication/login,11,0,0
1742944971374,9,14 Register Request,201,Created,User Thread Group 1-33,text,true,,287,280,44,44,http://localhost:8080/authentication/register,8,0,1
1742944971386,7,15 Login Request,200,OK,User Thread Group 1-22,text,true,,529,245,44,44,http://localhost:8080/authentication/login,7,0,0
1742944971400,9,16 Get Stock Prices Request,200,OK,User Thread Group 1-10,text,false,,479,399,44,44,http://localhost:8080/transaction/getStockPrices,9,0,0
1742944971419,11,14 Register Request,201,Created,User Thread Group 1-34,text,true,,287,270,45,45,http://localhost:8080/authentication/register,10,0,2
1742944971436,8,15 Login Request,200,OK,User Thread Group 1-23,text,true,,524,261,45,45,http://localhost:8080/authentication/login,8,0,0
1742944971429,18,16 Get Stock Prices Request,200,OK,User Thread Group 1-11,text,false,,479,404,45,45,http://localhost:8080/transaction/getStockPrices,18,0,0
1742944971464,9,14 Register Request,201,Created,User Thread Group 1-35,text,true,,287,280,46,46,http://localhost:8080/authentication/register,9,0,2
1742944971482,10,15 Login Request,200,OK,User Thread Group 1-24,text,true,,533,259,46,46,http://localhost:8080/authentication/login,10,0,0
1742944971477,14,16 Get Stock Prices Request,200,OK,User Thread Group 1-12,text,true,,479,410,46,46,http://localhost:8080/transaction/getStockPrices,14,0,0
1742944971504,13,16 Get Stock Prices Request,200,OK,User Thread Group 1-13,text,false,,479,404,47,47,http://localhost:8080/transaction/getStockPrices,13,0,0
1742944971508,10,14 Register Request,201,Created,User Thread Group 1-36,text,true,,287,278,47,47,http://localhost:8080/authentication/register,10,0,1
1742944971527,5,15 Login Request,200,OK,User Thread Group 1-25,text,true,,536,270,47,47,http://localhost:8080/authentication/login,5,0,0
1742944971548,6,16 Get Stock Prices Request,200,OK,User Thread Group 1-14,text,false,,479,415,48,48,http://localhost:8080/transaction/getStockPrices,5,0,0
1742944971553,8,14 Register Request,201,Created,User Thread Group 1-37,text,true,,287,291,48,48,http://localhost:8080/authentication/register,8,0,1
1742944971567,7,15 Login Request,200,OK,User Thread Group 1-26,text,true,,532,265,48,48,http://localhost:8080/authentication/login,7,0,0
1742944971590,10,16 Get Stock Prices Request,200,OK,User Thread Group 1-15,text,true,,479,408,49,49,http://localhost:8080/transaction/getStockPrices,10,0,0
1742944971598,7,14 Register Request,201,Created,User Thread Group 1-38,text,true,,287,280,49,49,http://localhost:8080/authentication/register,7,0,1
1742944971615,6,15 Login Request,200,OK,User Thread Group 1-27,text,true,,528,260,49,49,http://localhost:8080/authentication/login,6,0,0
1742944971633,6,16 Get Stock Prices Request,200,OK,User Thread Group 1-16,text,false,,479,415,50,50,http://localhost:8080/transaction/getStockPrices,6,0,0
1742944971643,6,14 Register Request,201,Created,User Thread Group 1-39,text,true,,287,284,50,50,http://localhost:8080/authentication/register,6,0,1
1742944971662,5,15 Login Request,200,OK,User Thread Group 1-28,text,true,,536,250,50,50,http://localhost:8080/authentication/login,5,0,0
1742944971686,6,16 Get Stock Prices Request,200,OK,User Thread Group 1-17,text,false,,479,410,51,51,http://localhost:8080/transaction/getStockPrices,6,0,0
1742944971689,6,14 Register Request,201,Created,User Thread Group 1-40,text,true,,287,266,51,51,http://localhost:8080/authentication/register,6,0,1
1742944971704,10,15 Login Request,200,OK,User Thread Group 1-29,text,true,,532,259,51,51,http://localhost:8080/authentication/login,10,0,0
1742944971718,12,16 Get Stock Prices Request,200,OK,User Thread Group 1-18,text,true,,479,415,52,52,http://localhost:8080/transaction/getStockPrices,12,0,0
1742944971732,7,14 Register Request,201,Created,User Thread Group 1-41,text,true,,287,296,52,52,http://localhost:8080/authentication/register,7,0,3
1742944971718,31,17 Add Money Request,200,OK,User Thread Group 1-5,text,true,,294,454,52,52,http://localhost:8080/transaction/addMoneyToWallet,31,0,0
1742944971718,35,17 Add Money Request,200,OK,User Thread Group 1-1,text,true,,294,453,52,52,http://localhost:8080/transaction/addMoneyToWallet,35,0,0
1742944971718,36,17 Add Money Request,200,OK,User Thread Group 1-4,text,true,,294,446,52,52,http://localhost:8080/transaction/addMoneyToWallet,36,0,0
1742944971720,36,17 Add Money Request,200,OK,User Thread Group 1-2,text,true,,294,453,52,52,http://localhost:8080/transaction/addMoneyToWallet,36,0,0
1742944971723,33,17 Add Money Request,200,OK,User Thread Group 1-6,text,true,,294,445,52,52,http://localhost:8080/transaction/addMoneyToWallet,33,0,0
1742944971744,13,15 Login Request,200,OK,User Thread Group 1-30,text,true,,527,244,52,52,http://localhost:8080/authentication/login,13,0,0
1742944971725,34,17 Add Money Request,200,OK,User Thread Group 1-3,text,true,,294,446,52,52,http://localhost:8080/transaction/addMoneyToWallet,34,0,0
1742944971727,34,17 Add Money Request,200,OK,User Thread Group 1-7,text,true,,294,447,52,52,http://localhost:8080/transaction/addMoneyToWallet,34,0,0
1742944971761,5,16 Get Stock Prices Request,200,OK,User Thread Group 1-19,text,false,,479,415,52,52,http://localhost:8080/transaction/getStockPrices,5,0,0
1742944971779,23,14 Register Request,201,Created,User Thread Group 1-42,text,true,,287,285,53,53,http://localhost:8080/authentication/register,23,0,1
1742944971795,7,15 Login Request,200,OK,User Thread Group 1-31,text,true,,536,264,53,53,http://localhost:8080/authentication/login,7,0,0
1742944971812,11,16 Get Stock Prices Request,200,OK,User Thread Group 1-20,text,false,,479,404,54,54,http://localhost:8080/transaction/getStockPrices,11,0,0
1742944971823,7,14 Register Request,201,Created,User Thread Group 1-43,text,true,,287,279,54,54,http://localhost:8080/authentication/register,7,0,0
1742944971805,27,17 Add Money Request,200,OK,User Thread Group 1-8,text,true,,294,454,54,54,http://localhost:8080/transaction/addMoneyToWallet,27,0,0
1742944971838,7,15 Login Request,200,OK,User Thread Group 1-32,text,true,,528,244,54,54,http://localhost:8080/authentication/login,7,0,0
1742944971855,21,17 Add Money Request,200,OK,User Thread Group 1-9,text,true,,294,442,55,55,http://localhost:8080/transaction/addMoneyToWallet,21,0,0
1742944971869,12,14 Register Request,201,Created,User Thread Group 1-44,text,true,,287,291,55,55,http://localhost:8080/authentication/register,12,0,1
1742944971871,9,16 Get Stock Prices Request,200,OK,User Thread Group 1-21,text,true,,479,412,55,55,http://localhost:8080/transaction/getStockPrices,9,0,0
1742944971884,5,15 Login Request,200,OK,User Thread Group 1-33,text,true,,519,253,55,55,http://localhost:8080/authentication/login,5,0,0
1742944971894,10,16 Get Stock Prices Request,200,OK,User Thread Group 1-22,text,false,,479,408,55,55,http://localhost:8080/transaction/getStockPrices,10,0,0
1742944971913,11,14 Register Request,201,Created,User Thread Group 1-45,text,true,,287,285,56,56,http://localhost:8080/authentication/register,11,0,2
1742944971911,23,17 Add Money Request,200,OK,User Thread Group 1-10,text,true,,294,438,56,56,http://localhost:8080/transaction/addMoneyToWallet,22,0,0
1742944971931,10,15 Login Request,200,OK,User Thread Group 1-34,text,true,,525,244,56,56,http://localhost:8080/authentication/login,10,0,0
1742944971946,10,16 Get Stock Prices Request,200,OK,User Thread Group 1-23,text,false,,479,403,57,57,http://localhost:8080/transaction/getStockPrices,10,0,0
1742944971958,10,14 Register Request,201,Created,User Thread Group 1-46,text,true,,287,273,57,57,http://localhost:8080/authentication/register,10,0,1
1742944971949,23,17 Add Money Request,200,OK,User Thread Group 1-11,text,true,,294,443,57,57,http://localhost:8080/transaction/addMoneyToWallet,23,0,0
1742944971974,8,15 Login Request,200,OK,User Thread Group 1-35,text,true,,520,256,57,57,http://localhost:8080/authentication/login,8,0,0
1742944971993,11,16 Get Stock Prices Request,200,OK,User Thread Group 1-24,text,true,,479,412,58,58,http://localhost:8080/transaction/getStockPrices,11,0,0
1742944972003,7,14 Register Request,201,Created,User Thread Group 1-47,text,true,,287,289,58,58,http://localhost:8080/authentication/register,7,0,2
1742944971993,23,17 Add Money Request,200,OK,User Thread Group 1-12,text,true,,294,449,58,58,http://localhost:8080/transaction/addMoneyToWallet,23,0,0
1742944972018,7,17 Add Money Request,200,OK,User Thread Group 1-13,text,true,,294,443,58,58,http://localhost:8080/transaction/addMoneyToWallet,6,0,0
1742944972019,5,15 Login Request,200,OK,User Thread Group 1-36,text,true,,533,251,58,58,http://localhost:8080/authentication/login,5,0,0
1742944972034,7,16 Get Stock Prices Request,200,OK,User Thread Group 1-25,text,false,,479,415,58,58,http://localhost:8080/transaction/getStockPrices,6,0,0
1742944972048,11,14 Register Request,201,Created,User Thread Group 1-48,text,true,,287,290,59,59,http://localhost:8080/authentication/register,11,0,2
1742944972061,9,15 Login Request,200,OK,User Thread Group 1-37,text,true,,536,267,59,59,http://localhost:8080/authentication/login,9,0,0
1742944972055,25,17 Add Money Request,200,OK,User Thread Group 1-14,text,true,,294,454,59,59,http://localhost:8080/transaction/addMoneyToWallet,25,0,0
1742944972076,13,16 Get Stock Prices Request,200,OK,User Thread Group 1-26,text,false,,479,411,60,60,http://localhost:8080/transaction/getStockPrices,13,0,0
1742944972095,11,14 Register Request,201,Created,User Thread Group 1-49,text,true,,287,291,60,60,http://localhost:8080/authentication/register,11,0,1
1742944972103,13,17 Add Money Request,200,OK,User Thread Group 1-15,text,true,,294,447,60,60,http://localhost:8080/transaction/addMoneyToWallet,13,0,0
1742944972107,10,15 Login Request,200,OK,User Thread Group 1-38,text,true,,536,255,60,60,http://localhost:8080/authentication/login,10,0,0
1742944972122,10,16 Get Stock Prices Request,200,OK,User Thread Group 1-27,text,true,,479,407,61,61,http://localhost:8080/transaction/getStockPrices,10,0,0
1742944972137,10,14 Register Request,201,Created,User Thread Group 1-50,text,true,,287,272,61,61,http://localhost:8080/authentication/register,10,0,1
1742944972151,6,15 Login Request,200,OK,User Thread Group 1-39,text,true,,524,258,61,61,http://localhost:8080/authentication/login,6,0,0
1742944972141,24,17 Add Money Request,200,OK,User Thread Group 1-16,text,true,,294,454,61,61,http://localhost:8080/transaction/addMoneyToWallet,24,0,0
1742944972168,6,16 Get Stock Prices Request,200,OK,User Thread Group 1-28,text,false,,479,415,61,61,http://localhost:8080/transaction/getStockPrices,6,0,0
1742944972183,7,14 Register Request,201,Created,User Thread Group 1-51,text,true,,287,293,62,62,http://localhost:8080/authentication/register,7,0,1
1742944972194,9,17 Add Money Request,200,OK,User Thread Group 1-17,text,true,,294,449,62,62,http://localhost:8080/transaction/addMoneyToWallet,9,0,0
1742944972196,9,15 Login Request,200,OK,User Thread Group 1-40,text,true,,524,241,62,62,http://localhost:8080/authentication/login,9,0,0
1742944972215,10,16 Get Stock Prices Request,200,OK,User Thread Group 1-29,text,false,,479,411,63,63,http://localhost:8080/transaction/getStockPrices,10,0,0
1742944972231,6,14 Register Request,201,Created,User Thread Group 1-52,text,true,,287,266,63,63,http://localhost:8080/authentication/register,6,0,0
1742944972232,10,17 Add Money Request,200,OK,User Thread Group 1-18,text,true,,294,454,63,63,http://localhost:8080/transaction/addMoneyToWallet,10,0,0
1742944972241,8,15 Login Request,200,OK,User Thread Group 1-41,text,true,,536,265,63,63,http://localhost:8080/authentication/login,8,0,0
1742944972250,6,18 Get Wallet Balance Request,200,OK,User Thread Group 1-5,text,true,,309,417,63,63,http://localhost:8080/transaction/getWalletBalance,6,0,0
1742944972255,9,18 Get Wallet Balance Request,200,OK,User Thread Group 1-4,text,true,,309,409,63,63,http://localhost:8080/transaction/getWalletBalance,9,0,0
1742944972254,10,18 Get Wallet Balance Request,200,OK,User Thread Group 1-1,text,true,,309,416,63,63,http://localhost:8080/transaction/getWalletBalance,10,0,0
1742944972257,10,18 Get Wallet Balance Request,200,OK,User Thread Group 1-6,text,true,,309,408,64,64,http://localhost:8080/transaction/getWalletBalance,10,0,0
1742944972257,11,18 Get Wallet Balance Request,200,OK,User Thread Group 1-2,text,true,,309,416,64,64,http://localhost:8080/transaction/getWalletBalance,11,0,0
1742944972259,9,16 Get Stock Prices Request,200,OK,User Thread Group 1-30,text,true,,479,406,64,64,http://localhost:8080/transaction/getStockPrices,9,0,0
1742944972261,9,18 Get Wallet Balance Request,200,OK,User Thread Group 1-3,text,true,,309,409,64,64,http://localhost:8080/transaction/getWalletBalance,9,0,0
1742944972263,7,18 Get Wallet Balance Request,200,OK,User Thread Group 1-7,text,true,,309,410,64,64,http://localhost:8080/transaction/getWalletBalance,7,0,0
1742944972272,6,14 Register Request,201,Created,User Thread Group 1-53,text,true,,287,287,64,64,http://localhost:8080/authentication/register,6,0,1
1742944972268,21,17 Add Money Request,200,OK,User Thread Group 1-19,text,true,,294,454,64,64,http://localhost:8080/transaction/addMoneyToWallet,21,0,0
1742944972303,6,15 Login Request,200,OK,User Thread Group 1-42,text,true,,535,257,64,64,http://localhost:8080/authentication/login,6,0,0
1742944972303,9,16 Get Stock Prices Request,200,OK,User Thread Group 1-31,text,false,,479,415,65,65,http://localhost:8080/transaction/getStockPrices,9,0,0
1742944972318,9,14 Register Request,201,Created,User Thread Group 1-54,text,true,,287,287,65,65,http://localhost:8080/authentication/register,9,0,1
1742944972326,8,17 Add Money Request,200,OK,User Thread Group 1-20,text,true,,294,443,65,65,http://localhost:8080/transaction/addMoneyToWallet,8,0,0
1742944972331,6,15 Login Request,200,OK,User Thread Group 1-43,text,true,,535,254,65,65,http://localhost:8080/authentication/login,6,0,0
1742944972333,6,18 Get Wallet Balance Request,200,OK,User Thread Group 1-8,text,true,,309,417,65,65,http://localhost:8080/transaction/getWalletBalance,6,0,0
1742944972346,7,16 Get Stock Prices Request,200,OK,User Thread Group 1-32,text,false,,479,407,65,65,http://localhost:8080/transaction/getStockPrices,7,0,0
1742944972363,7,14 Register Request,201,Created,User Thread Group 1-55,text,true,,287,266,66,66,http://localhost:8080/authentication/register,7,0,1
1742944972377,4,18 Get Wallet Balance Request,200,OK,User Thread Group 1-9,text,true,,309,405,66,66,http://localhost:8080/transaction/getWalletBalance,4,0,0
1742944972382,5,15 Login Request,200,OK,User Thread Group 1-44,text,true,,533,264,66,66,http://localhost:8080/authentication/login,5,0,0
1742944972382,8,17 Add Money Request,200,OK,User Thread Group 1-21,text,true,,294,451,66,66,http://localhost:8080/transaction/addMoneyToWallet,8,0,0
1742944972390,6,16 Get Stock Prices Request,200,OK,User Thread Group 1-33,text,true,,479,399,66,66,http://localhost:8080/transaction/getStockPrices,6,0,0
1742944972405,9,17 Add Money Request,200,OK,User Thread Group 1-22,text,true,,294,447,67,67,http://localhost:8080/transaction/addMoneyToWallet,9,0,0
1742944972407,7,14 Register Request,201,Created,User Thread Group 1-56,text,true,,287,286,67,67,http://localhost:8080/authentication/register,7,0,1
1742944972425,5,15 Login Request,200,OK,User Thread Group 1-45,text,true,,533,256,67,67,http://localhost:8080/authentication/login,4,0,0
1742944972435,6,18 Get Wallet Balance Request,200,OK,User Thread Group 1-10,text,true,,309,401,67,67,http://localhost:8080/transaction/getWalletBalance,6,0,0
1742944972442,6,16 Get Stock Prices Request,200,OK,User Thread Group 1-34,text,false,,479,404,68,68,http://localhost:8080/transaction/getStockPrices,6,0,0
1742944972452,6,14 Register Request,201,Created,User Thread Group 1-57,text,true,,287,278,68,68,http://localhost:8080/authentication/register,6,0,1
1742944972457,5,17 Add Money Request,200,OK,User Thread Group 1-23,text,true,,294,442,68,68,http://localhost:8080/transaction/addMoneyToWallet,5,0,0
1742944972469,4,15 Login Request,200,OK,User Thread Group 1-46,text,true,,522,243,68,68,http://localhost:8080/authentication/login,4,0,0
1742944972473,4,18 Get Wallet Balance Request,200,OK,User Thread Group 1-11,text,true,,309,406,68,68,http://localhost:8080/transaction/getWalletBalance,4,0,0
1742944972483,5,16 Get Stock Prices Request,200,OK,User Thread Group 1-35,text,false,,479,400,68,68,http://localhost:8080/transaction/getStockPrices,5,0,0
1742944972499,6,14 Register Request,201,Created,User Thread Group 1-58,text,true,,287,278,69,69,http://localhost:8080/authentication/register,6,0,0
1742944972505,6,17 Add Money Request,200,OK,User Thread Group 1-24,text,true,,294,451,69,69,http://localhost:8080/transaction/addMoneyToWallet,6,0,0
1742944972511,5,15 Login Request,200,OK,User Thread Group 1-47,text,true,,536,257,69,69,http://localhost:8080/authentication/login,5,0,0
1742944972517,5,18 Get Wallet Balance Request,200,OK,User Thread Group 1-12,text,true,,309,412,69,69,http://localhost:8080/transaction/getWalletBalance,5,0,0
1742944972525,5,18 Get Wallet Balance Request,200,OK,User Thread Group 1-13,text,true,,309,406,69,69,http://localhost:8080/transaction/getWalletBalance,5,0,0
1742944972526,7,16 Get Stock Prices Request,200,OK,User Thread Group 1-36,text,true,,479,412,69,69,http://localhost:8080/transaction/getStockPrices,7,0,0
1742944972542,8,17 Add Money Request,200,OK,User Thread Group 1-25,text,true,,294,454,70,70,http://localhost:8080/transaction/addMoneyToWallet,8,0,0
1742944972543,9,14 Register Request,201,Created,User Thread Group 1-59,text,true,,287,291,70,70,http://localhost:8080/authentication/register,9,0,1
1742944972560,7,15 Login Request,200,OK,User Thread Group 1-48,text,true,,527,261,70,70,http://localhost:8080/authentication/login,7,0,0
1742944972571,5,16 Get Stock Prices Request,200,OK,User Thread Group 1-37,text,false,,479,415,70,70,http://localhost:8080/transaction/getStockPrices,5,0,0
1742944972581,8,18 Get Wallet Balance Request,200,OK,User Thread Group 1-14,text,true,,309,417,71,71,http://localhost:8080/transaction/getWalletBalance,7,0,0
1742944972587,8,14 Register Request,201,Created,User Thread Group 1-60,text,true,,287,284,71,71,http://localhost:8080/authentication/register,8,0,1
1742944972591,7,17 Add Money Request,200,OK,User Thread Group 1-26,text,true,,294,450,71,71,http://localhost:8080/transaction/addMoneyToWallet,7,0,0
1742944972607,6,15 Login Request,200,OK,User Thread Group 1-49,text,true,,535,265,71,71,http://localhost:8080/authentication/login,6,0,0
1742944972618,4,18 Get Wallet Balance Request,200,OK,User Thread Group 1-15,text,true,,309,410,71,71,http://localhost:8080/transaction/getWalletBalance,4,0,0
1742944972619,7,16 Get Stock Prices Request,200,OK,User Thread Group 1-38,text,false,,479,415,71,71,http://localhost:8080/transaction/getStockPrices,7,0,0
1742944972632,7,14 Register Request,201,Created,User Thread Group 1-61,text,true,,287,290,72,72,http://localhost:8080/authentication/register,7,0,1
1742944972634,6,17 Add Money Request,200,OK,User Thread Group 1-27,text,true,,294,446,72,72,http://localhost:8080/transaction/addMoneyToWallet,6,0,0
1742944972649,8,15 Login Request,200,OK,User Thread Group 1-50,text,true,,525,246,72,72,http://localhost:8080/authentication/login,8,0,0
1742944972659,9,16 Get Stock Prices Request,200,OK,User Thread Group 1-39,text,true,,479,403,72,72,http://localhost:8080/transaction/getStockPrices,9,0,0
1742944972667,8,18 Get Wallet Balance Request,200,OK,User Thread Group 1-16,text,true,,309,417,73,73,http://localhost:8080/transaction/getWalletBalance,8,0,0
1742944972675,10,17 Add Money Request,200,OK,User Thread Group 1-28,text,true,,294,454,73,73,http://localhost:8080/transaction/addMoneyToWallet,10,0,0
1742944972677,8,14 Register Request,201,Created,User Thread Group 1-62,text,true,,287,272,73,73,http://localhost:8080/authentication/register,8,0,1
1742944972691,9,15 Login Request,200,OK,User Thread Group 1-51,text,true,,532,264,73,73,http://localhost:8080/authentication/login,9,0,0
1742944972706,7,16 Get Stock Prices Request,200,OK,User Thread Group 1-40,text,false,,479,403,73,73,http://localhost:8080/transaction/getStockPrices,7,0,0
1742944972704,9,18 Get Wallet Balance Request,200,OK,User Thread Group 1-17,text,true,,309,412,73,73,http://localhost:8080/transaction/getWalletBalance,9,0,0
1742944972723,10,14 Register Request,201,Created,User Thread Group 1-63,text,true,,287,282,74,74,http://localhost:8080/authentication/register,10,0,1
